year,month,day,temperature oslo,temperature bergen,temperature trondheim,temperature tromso,10 days ago,9 days ago,8 days ago,7 days ago,6 days ago,5 days ago,4 days ago,3 days ago,2 days ago,1 day ago,today,tomorrow
11,01,11,0.8,0.7,-5.7,-1.9,595.8,641.19,681.06,663.28,638.9,607.63,613.23,581.78,559.86,563.99,555.51,552.98
11,01,12,-2.2,-1.9,-3.5,-7.2,641.19,681.06,663.28,638.9,607.63,613.23,581.78,559.86,563.99,555.51,552.98,551.34
11,01,13,-5.9,-0.6,-2.0,-11.4,681.06,663.28,638.9,607.63,613.23,581.78,559.86,563.99,555.51,552.98,551.34,537.34
11,01,14,-5.9,2.2,-6.4,-6.6,663.28,638.9,607.63,613.23,581.78,559.86,563.99,555.51,552.98,551.34,537.34,529.41
11,01,15,-6.1,3.5,-0.2,-3.6,638.9,607.63,613.23,581.78,559.86,563.99,555.51,552.98,551.34,537.34,529.41,512.69
11,01,16,-0.6,6.4,2.1,-3.6,607.63,613.23,581.78,559.86,563.99,555.51,552.98,551.34,537.34,529.41,512.69,515.52
11,01,17,2.2,5.3,3.0,-1.3,613.23,581.78,559.86,563.99,555.51,552.98,551.34,537.34,529.41,512.69,515.52,511.58
11,01,18,-1.8,2.4,2.0,1.4,581.78,559.86,563.99,555.51,552.98,551.34,537.34,529.41,512.69,515.52,511.58,507.23
11,01,19,-6.2,0.5,0.5,1.5,559.86,563.99,555.51,552.98,551.34,537.34,529.41,512.69,515.52,511.58,507.23,503.8
11,01,20,-4.1,-1.2,0.8,1.7,563.99,555.51,552.98,551.34,537.34,529.41,512.69,515.52,511.58,507.23,503.8,504.1
11,01,21,-6.5,3.3,3.1,2.6,555.51,552.98,551.34,537.34,529.41,512.69,515.52,511.58,507.23,503.8,504.1,490.52
11,01,22,-4.2,2.6,2.6,-1.0,552.98,551.34,537.34,529.41,512.69,515.52,511.58,507.23,503.8,504.1,490.52,488.56
11,01,23,0.3,5.0,4.4,-2.0,551.34,537.34,529.41,512.69,515.52,511.58,507.23,503.8,504.1,490.52,488.56,503.34
11,01,24,-2.6,4.4,2.9,-6.0,537.34,529.41,512.69,515.52,511.58,507.23,503.8,504.1,490.52,488.56,503.34,494.34
11,01,25,-2.1,0.6,-3.9,-4.4,529.41,512.69,515.52,511.58,507.23,503.8,504.1,490.52,488.56,503.34,494.34,505.64
11,01,26,-9.9,-0.8,-4.6,-1.0,512.69,515.52,511.58,507.23,503.8,504.1,490.52,488.56,503.34,494.34,505.64,504.85
11,01,27,-9.2,-1.7,2.1,2.1,515.52,511.58,507.23,503.8,504.1,490.52,488.56,503.34,494.34,505.64,504.85,497.44
11,01,28,-9.3,0.3,4.5,1.1,511.58,507.23,503.8,504.1,490.52,488.56,503.34,494.34,505.64,504.85,497.44,480.77
11,01,29,-4.6,2.6,1.6,-3.2,507.23,503.8,504.1,490.52,488.56,503.34,494.34,505.64,504.85,497.44,480.77,483.88
11,01,30,-4.8,1.7,2.1,-1.5,503.8,504.1,490.52,488.56,503.34,494.34,505.64,504.85,497.44,480.77,483.88,496.6
11,01,31,-4.1,4.6,3.3,1.8,504.1,490.52,488.56,503.34,494.34,505.64,504.85,497.44,480.77,483.88,496.6,483.14
11,02,01,1.1,5.0,3.2,-0.1,490.52,488.56,503.34,494.34,505.64,504.85,497.44,480.77,483.88,496.6,483.14,472.48
11,02,02,-0.5,4.2,3.7,-2.0,488.56,503.34,494.34,505.64,504.85,497.44,480.77,483.88,496.6,483.14,472.48,464.86
11,02,03,1.9,2.5,0.8,-3.1,503.34,494.34,505.64,504.85,497.44,480.77,483.88,496.6,483.14,472.48,464.86,464.24
11,02,04,0.8,3.1,1.2,-4.5,494.34,505.64,504.85,497.44,480.77,483.88,496.6,483.14,472.48,464.86,464.24,467.97
11,02,05,-2.7,1.2,1.9,-7.5,505.64,504.85,497.44,480.77,483.88,496.6,483.14,472.48,464.86,464.24,467.97,482.89
11,02,06,-2.1,4.4,1.5,-8.9,504.85,497.44,480.77,483.88,496.6,483.14,472.48,464.86,464.24,467.97,482.89,489.64
11,02,07,-3.1,3.3,2.0,-5.8,497.44,480.77,483.88,496.6,483.14,472.48,464.86,464.24,467.97,482.89,489.64,495.92
11,02,08,1.8,1.2,0.7,-7.0,480.77,483.88,496.6,483.14,472.48,464.86,464.24,467.97,482.89,489.64,495.92,506.09
11,02,09,-2.0,0.3,-1.3,-6.3,483.88,496.6,483.14,472.48,464.86,464.24,467.97,482.89,489.64,495.92,506.09,504.01
11,02,10,-1.1,3.3,-3.6,-5.8,496.6,483.14,472.48,464.86,464.24,467.97,482.89,489.64,495.92,506.09,504.01,501.16
11,02,11,-5.0,-0.4,-8.6,-1.2,483.14,472.48,464.86,464.24,467.97,482.89,489.64,495.92,506.09,504.01,501.16,505.22
11,02,12,-12.2,-2.7,-12.0,-4.7,472.48,464.86,464.24,467.97,482.89,489.64,495.92,506.09,504.01,501.16,505.22,509.64
11,02,13,-12.1,0.8,-9.1,-6.0,464.86,464.24,467.97,482.89,489.64,495.92,506.09,504.01,501.16,505.22,509.64,518.47
11,02,14,-8.8,0.9,-4.8,-9.7,464.24,467.97,482.89,489.64,495.92,506.09,504.01,501.16,505.22,509.64,518.47,521.55
11,02,15,-8.5,-1.1,-4.9,-10.9,467.97,482.89,489.64,495.92,506.09,504.01,501.16,505.22,509.64,518.47,521.55,517.8
11,02,16,-6.4,-2.1,-5.6,-8.5,482.89,489.64,495.92,506.09,504.01,501.16,505.22,509.64,518.47,521.55,517.8,521.11
11,02,17,-4.8,-0.7,-4.0,-8.8,489.64,495.92,506.09,504.01,501.16,505.22,509.64,518.47,521.55,517.8,521.11,519.21
11,02,18,-7.1,-0.6,-5.9,-5.5,495.92,506.09,504.01,501.16,505.22,509.64,518.47,521.55,517.8,521.11,519.21,511.13
11,02,19,-9.5,-3.5,-8.0,-1.1,506.09,504.01,501.16,505.22,509.64,518.47,521.55,517.8,521.11,519.21,511.13,514.81
11,02,20,-13.4,-3.7,-7.4,-1.6,504.01,501.16,505.22,509.64,518.47,521.55,517.8,521.11,519.21,511.13,514.81,531.02
11,02,21,-10.9,-4.1,-4.4,-2.3,501.16,505.22,509.64,518.47,521.55,517.8,521.11,519.21,511.13,514.81,531.02,528.75
11,02,22,-9.3,-3.9,-7.0,-1.2,505.22,509.64,518.47,521.55,517.8,521.11,519.21,511.13,514.81,531.02,528.75,533.42
11,02,23,-9.1,-2.9,-8.7,-3.2,509.64,518.47,521.55,517.8,521.11,519.21,511.13,514.81,531.02,528.75,533.42,534.01
11,02,24,-9.3,1.2,-4.2,-7.9,518.47,521.55,517.8,521.11,519.21,511.13,514.81,531.02,528.75,533.42,534.01,520.88
11,02,25,-1.8,5.2,3.4,0.8,521.55,517.8,521.11,519.21,511.13,514.81,531.02,528.75,533.42,534.01,520.88,502.27
11,02,26,-0.4,5.4,5.8,4.6,517.8,521.11,519.21,511.13,514.81,531.02,528.75,533.42,534.01,520.88,502.27,501.78
11,02,27,-1.7,1.5,3.3,4.0,521.11,519.21,511.13,514.81,531.02,528.75,533.42,534.01,520.88,502.27,501.78,521.46
11,02,28,-2.2,0.9,2.3,1.2,519.21,511.13,514.81,531.02,528.75,533.42,534.01,520.88,502.27,501.78,521.46,514.22
11,03,01,-1.9,1.8,1.1,3.2,511.13,514.81,531.02,528.75,533.42,534.01,520.88,502.27,501.78,521.46,514.22,506.5
11,03,02,-2.5,2.5,5.8,2.7,514.81,531.02,528.75,533.42,534.01,520.88,502.27,501.78,521.46,514.22,506.5,499.21
11,03,03,-1.6,2.1,2.6,0.3,531.02,528.75,533.42,534.01,520.88,502.27,501.78,521.46,514.22,506.5,499.21,492.91
11,03,04,-2.6,3.5,2.7,-0.3,528.75,533.42,534.01,520.88,502.27,501.78,521.46,514.22,506.5,499.21,492.91,486.29
11,03,05,1.2,1.6,-1.1,-2.7,533.42,534.01,520.88,502.27,501.78,521.46,514.22,506.5,499.21,492.91,486.29,489.89
11,03,06,-2.0,-0.6,-0.7,-2.1,534.01,520.88,502.27,501.78,521.46,514.22,506.5,499.21,492.91,486.29,489.89,495.39
12,03,06,0.3,2.4,3.6,0.7,520.88,502.27,501.78,521.46,514.22,506.5,499.21,492.91,486.29,489.89,495.39,487.81
13,03,06,0.4,2.9,5.8,3.7,502.27,501.78,521.46,514.22,506.5,499.21,492.91,486.29,489.89,495.39,487.81,487.13
14,03,06,0.5,1.8,1.6,2.0,501.78,521.46,514.22,506.5,499.21,492.91,486.29,489.89,495.39,487.81,487.13,477.22
15,03,06,-1.2,-0.2,-1.6,0.0,521.46,514.22,506.5,499.21,492.91,486.29,489.89,495.39,487.81,487.13,477.22,483.39
16,03,06,-2.5,0.6,-1.4,-3.0,514.22,506.5,499.21,492.91,486.29,489.89,495.39,487.81,487.13,477.22,483.39,482.6
17,03,06,-0.5,2.4,1.0,-3.2,506.5,499.21,492.91,486.29,489.89,495.39,487.81,487.13,477.22,483.39,482.6,483.28
18,03,06,0.8,0.6,1.1,-2.9,499.21,492.91,486.29,489.89,495.39,487.81,487.13,477.22,483.39,482.6,483.28,499.61
19,03,06,2.4,2.7,0.4,-3.7,492.91,486.29,489.89,495.39,487.81,487.13,477.22,483.39,482.6,483.28,499.61,494.86
20,03,06,-0.1,4.1,0.5,0.3,486.29,489.89,495.39,487.81,487.13,477.22,483.39,482.6,483.28,499.61,494.86,514.82
21,03,06,-1.4,5.2,2.9,4.6,489.89,495.39,487.81,487.13,477.22,483.39,482.6,483.28,499.61,494.86,514.82,536.24
